day,sp,forecast_demand,actual_demand,demand_mismatch,forecast_trans,actual_trans,ew_demand,wind_gen,wind_cap,solar_gen,solar_cap,forecast_ps_pumping,actual_ps_pumping,forecast_ic_fr,forecast_ic_britned,forecast_moyle_flow,forecast_ew_flow,actual_ic_fr,actual_ic_britned,actual_moyle_flow,actual_ew_flow,price,price_diff_1,price_diff_2,price_diff_3,imbalance,event
01-Jan-16,1,27700,27664,36,28414,28299,25315,1294,4013,0,9063,114,106,1756,870,31,105,1740,872,25,103,29.6,0,0,0,-253.3504,0
01-Jan-16,2,28379,28278,101,29007,28904,26025,1230,4013,0,9063,28,26,1755,881,19,27,1740,883,25,26,48.1364,-18.5364,0,0,55.8867,0
01-Jan-16,3,28155,27986,169,29063,29097,25804,1148,4013,0,9063,308,323,1755,871,76,36,1740,875,76,36,49.02361,-0.88721,-19.42361,0,239.7857,0
01-Jan-16,4,27147,26961,186,28326,28149,24867,1065,4013,0,9063,572,572,1756,887,-7,65,1740,888,-14,65,46,3.02361,2.1364,-16.4,18.1805,0
01-Jan-16,5,26154,26006,148,27348,27283,23993,1004,4013,0,9063,493,493,1756,880,-101,20,1740,883,-100,20,48.5,-2.5,0.52361,-0.3636,89.0833,0
01-Jan-16,6,25635,25463,172,26737,26723,23441,943,4013,0,9063,439,447,1756,867,-63,4,1740,867,-63,1,48.5,0,-2.5,0.52361,161.2316,0
01-Jan-16,7,24824,24648,176,26588,27002,22631,896,4013,0,9063,992,1238,1756,866,-100,-72,1740,868,-100,-73,59,-10.5,-10.5,-13,465.9382,0
01-Jan-16,8,23915,23744,171,26223,26290,21763,849,4013,0,9063,1535,1772,1756,882,-100,-73,1740,884,-100,-73,49.93831,9.06169,-1.43831,-1.43831,162.2587,0
01-Jan-16,9,23364,23157,207,25666,25818,21270,845,4013,0,9063,1529,1887,1756,886,-100,-73,1740,886,-100,-73,54.23616,-4.29785,4.76384,-5.73616,208.8244,0
01-Jan-16,10,22922,22756,166,25182,25377,20880,840,4013,0,9063,1526,1885,1756,872,-100,-34,1740,874,-100,-32,48.5,5.73616,1.43831,10.5,122.6222,0
01-Jan-16,11,22854,22644,210,25038,24974,20809,850,4013,0,9063,1521,1652,1756,864,-60,-3,1740,864,-59,0,41.92554,6.57446,12.31062,8.01277,11.3985,0
01-Jan-16,12,22774,22720,54,25173,25235,20721,859,4013,0,9063,1709,1826,1756,869,-90,60,1740,870,-90,64,30.30878,11.61676,18.19122,23.92738,-117.8619,0
01-Jan-16,13,23385,23357,28,25617,25583,21304,872,4013,0,9063,1616,1612,1752,861,-16,91,1740,863,-13,92,30.07056,0.23822,11.85498,18.42944,-311.2036,0
01-Jan-16,14,23770,23718,52,25754,25735,21674,884,4013,0,9063,1361,1348,1700,879,-23,150,1652,882,-24,153,30.07484,-0.00428,0.23394,11.8507,-344.3887,0
01-Jan-16,15,24278,24209,69,25364,25268,22110,935,4013,0,9063,486,457,345,819,14,244,306,819,13,248,30.2,-0.12516,-0.12944,0.10878,-162.5875,0
01-Jan-16,16,24397,24343,54,25163,25098,22238,986,4013,0,9063,166,154,186,800,11,287,218,799,14,286,30.2,0,-0.12516,-0.12944,-131.8168,0
01-Jan-16,17,24860,24842,18,25473,25457,22698,1050,4013,67,9063,13,15,979,774,60,287,965,778,62,286,29.6,0.6,0.6,0.47484,-384.8852,0
01-Jan-16,18,25718,25665,53,26330,26282,23560,1114,4013,165,9063,12,13,942,787,113,287,966,793,115,286,30.2,-0.6,0,0,-189.0017,0
01-Jan-16,19,27104,26946,158,27716,27560,24829,1191,4013,330,9063,12,14,1978,984,38,287,1969,988,31,286,30.30879,-0.10879,-0.70879,-0.10879,-99.8195,0
01-Jan-16,20,28155,28106,49,28767,28721,25825,1267,4013,462,9063,12,15,1997,961,47,286,1977,965,54,285,31.25,-0.94121,-1.05,-1.65,-41.5695,0
01-Jan-16,21,29329,29361,-32,29941,29977,26870,1351,4013,571,9063,12,16,1996,967,163,246,1977,968,162,243,46,-14.75,-15.69121,-15.8,15.6855,0
01-Jan-16,22,30352,30384,-32,30964,30999,27716,1434,4013,673,9063,12,15,1996,965,116,112,1977,966,116,106,46,0,-14.75,-15.69121,78.1666,0
01-Jan-16,23,31273,31329,-56,31885,31944,28493,1507,4013,700,9063,12,15,1996,976,40,31,1977,981,31,31,31.25,14.75,14.75,0,-4.4411,0
